isic_id,image_type,diagnosis_1,label_11,width,height,megapixels,aspect_ratio,file_size_kb,mean_r,mean_g,mean_b,mean_intensity,std_intensity
ISIC_2891509,dermoscopic,Malignant,BCC,600,450,0.27,1.3333333333333333,27.580078125,152.11415925925925,136.22348888888888,117.6424,135.3266827160494,24.417547639433863
ISIC_1923944,clinical: close-up,Malignant,BCC,600,450,0.27,1.3333333333333333,24.794921875,155.76037037037037,118.34684814814815,93.17456666666666,122.42726172839507,60.70614269574123
ISIC_6394582,dermoscopic,Benign,NV,600,450,0.27,1.3333333333333333,21.3603515625,176.08087037037038,171.14278518518518,167.7832037037037,171.66895308641975,15.298255142667244
ISIC_5027796,dermoscopic,Malignant,BCC,600,450,0.27,1.3333333333333333,22.169921875,147.65184814814816,125.71922962962962,128.96092592592592,134.11066790123456,21.073081027074828
ISIC_7202617,clinical: close-up,Benign,NV,600,450,0.27,1.3333333333333333,26.974609375,205.08867407407408,174.1561925925926,122.76143703703704,167.33543456790125,37.64513959998699
ISIC_6824445,clinical: close-up,Malignant,MEL,600,450,0.27,1.3333333333333333,34.919921875,137.40151111111112,97.92231481481481,73.85702222222223,103.06028271604939,28.91359839533961
ISIC_9826615,dermoscopic,Malignant,BCC,600,450,0.27,1.3333333333333333,36.244140625,151.5196925925926,108.08695555555556,116.68881481481482,125.43182098765432,41.776621893200755
ISIC_8768858,clinical: close-up,Benign,NV,600,450,0.27,1.3333333333333333,31.1240234375,141.89308518518519,129.96741111111112,117.99578518518518,129.9520938271605,22.06899106726447
ISIC_3202131,dermoscopic,Malignant,BCC,600,450,0.27,1.3333333333333333,22.546875,219.6146222222222,157.54414444444444,138.77987037037036,171.97954567901235,37.34501598149062
ISIC_9927143,clinical: close-up,Malignant,BCC,600,450,0.27,1.3333333333333333,52.96484375,197.53075555555554,161.2906037037037,138.09927037037036,165.6402098765432,38.21267226245023
ISIC_6710161,dermoscopic,Malignant,BCC,600,450,0.27,1.3333333333333333,24.4423828125,205.59861481481482,130.2443037037037,152.66143333333332,162.8347839506173,37.26204769894906
ISIC_1201852,clinical: close-up,Malignant,BCC,600,450,0.27,1.3333333333333333,40.30859375,184.26434074074075,139.7014814814815,123.43927037037037,149.13503086419752,32.378846470565925
ISIC_2418437,dermoscopic,Malignant,SCCKA,600,450,0.27,1.3333333333333333,25.23046875,186.5731037037037,141.94185185185185,120.49215185185186,149.66903580246912,39.841778242997016
ISIC_2236717,clinical: close-up,Malignant,MEL,600,450,0.27,1.3333333333333333,51.705078125,195.67463703703703,170.2803037037037,129.51578148148147,165.1569074074074,41.34870026250927
ISIC_6338368,dermoscopic,Malignant,BCC,600,450,0.27,1.3333333333333333,29.3505859375,149.8301888888889,126.70061851851852,126.62628518518518,134.3856975308642,19.499100305484028
ISIC_2195775,dermoscopic,Malignant,MEL,600,450,0.27,1.3333333333333333,33.62890625,165.65061111111112,139.6301814814815,136.50851111111112,147.2631012345679,53.246038929585985
ISIC_2959395,dermoscopic,Malignant,MEL,600,450,0.27,1.3333333333333333,16.8681640625,143.2664962962963,129.53125925925926,135.30204444444445,136.03326666666666,11.68448594707561
